"Date","Price","Open","High","Low","Change %"
"Jun 2005","6.950","6.950","6.950","6.950","0.72%"
"May 2005","6.900","6.900","6.900","6.900","-0.72%"
"Apr 2005","6.950","6.950","6.950","6.950","-8.55%"
"Mar 2005","7.600","7.600","7.600","7.600","2.01%"
"Feb 2005","7.450","7.450","7.450","7.450","0.68%"
"Jan 2005","7.400","7.400","7.400","7.400","0.14%"
"Dec 2004","7.390","7.390","7.390","7.390","0.54%"
"Nov 2004","7.350","7.350","7.350","7.350","-3.03%"
"Oct 2004","7.580","7.580","7.580","7.580","0.93%"
"Sep 2004","7.510","7.510","7.510","7.510","0.13%"
"Aug 2004","7.500","7.500","7.500","7.500","-7.98%"
"Jul 2004","8.150","8.150","8.150","8.150","-1.81%"
"Jun 2004","8.300","8.300","8.300","8.300","0.00%"
"May 2004","8.300","8.300","8.300","8.300","-0.60%"
"Apr 2004","8.350","8.350","8.350","8.350","-1.76%"
"Mar 2004","8.500","8.500","8.500","8.500","-3.08%"
"Feb 2004","8.770","8.770","8.770","8.770","-1.24%"
"Jan 2004","8.880","8.880","8.880","8.880","4.47%"
"Dec 2003","8.500","8.500","8.500","8.500","4.04%"
"Nov 2003","8.170","8.170","8.170","8.170","-3.31%"
"Oct 2003","8.450","8.450","8.450","8.450","-7.14%"
"Sep 2003","9.100","9.100","9.100","9.100","-17.65%"
"Aug 2003","11.050","11.050","11.050","11.050","-0.99%"
"Jul 2003","11.160","11.160","11.160","11.160","-12.47%"
"Jun 2003","12.750","12.750","12.750","12.750","-4.14%"
"May 2003","13.300","13.300","13.300","13.300","-3.62%"
"Apr 2003","13.800","13.800","13.800","13.800","2.00%"
"Mar 2003","13.530","13.530","13.530","13.530","0.52%"
"Feb 2003","13.460","13.460","13.460","13.460","0.22%"
